BJD - 2454833, Corrected Flux
2577.354634271, 0.999713846,
2577.375065989, 0.999668103,
2577.415929424, 0.999765272,
2577.436361141, 0.999738900,
2577.456792957, 0.999814269,
2577.477224574, 0.999723549,
2577.497656290, 0.999722115,
2577.518088105, 0.999739537,
2577.538519721, 0.999773308,
2577.558951436, 0.999813929,
2577.579383251, 0.999800822,
2577.599814865, 0.999754809,
2577.620246579, 0.999719697,
2577.640678393, 0.999789273,
2577.661110006, 0.999612296,
2577.681541719, 0.999391104,
2577.701973532, 0.999388118,
2577.722405144, 0.999582168,
2577.742836856, 0.999681770,
2577.763268668, 0.999717771,
2577.783700380, 0.999744092,
2577.804132091, 0.999806429,
2577.844995512, 0.999740989,
2577.865427222, 0.999703447,
2577.885858932, 0.999742417,
2577.906290642, 0.999744385,
2577.926722451, 0.999805970,
2577.947154060, 0.999829911,
2577.967585768, 0.999727440,
2577.988017477, 0.999716453,
2578.008449184, 0.999716468,
2578.028880892, 0.999788495,
2578.049312599, 0.999681467,
2578.069744306, 0.999774071,
2578.090175913, 0.999738938,
2578.110607719, 0.999637415,
2578.151471131, 0.999664881,
2578.171902836, 0.999746466,
2578.192334541, 0.999753946,
2578.212766246, 0.999716400,
2578.233197950, 0.999707415,
2578.253629654, 0.999656403,
2578.274061358, 0.999679524,
2578.294493162, 0.999760132,
2578.314924765, 0.999744812,
2578.335356468, 0.999697863,
2578.355788270, 0.999623559,
2578.376219872, 0.999639209,
2578.396651574, 0.999596107,
2578.417083375, 0.999648706,
2578.437514977, 0.999761234,
2578.457946678, 0.999698163,
2578.478378478, 0.999659831,
2578.498810078, 0.999876776,
2578.519241778, 0.999745409,
2578.539673578, 0.999776818,
2578.560105177, 0.999766903,
2578.580536976, 0.999710024,
2578.600968675, 0.999732266,
2578.641832071, 0.999358467,
2578.662263769, 0.999440665,
2578.682695467, 0.999600724,
2578.703127164, 0.999682758,
2578.723558861, 0.999721889,
2578.743990557, 0.999682298,
2578.764422353, 0.999728336,
2578.784853949, 0.999696538,
2578.805285645, 0.999704321,
2578.825717340, 0.999753960,
2578.846149035, 0.999670986,
2578.866580629, 0.999716730,
2578.887012424, 0.999791007,
2578.907444118, 0.999791444,
2578.927875712, 0.999761116,
2578.948307505, 0.999725274,
2578.968739198, 0.999752652,
2578.989170891, 0.999736738,
2579.009602583, 0.999785789,
2579.030034275, 0.999766218,
2579.050465967, 0.999723734,
2579.070897659, 0.999776338,
2579.091329350, 0.999741571,
2579.111761041, 0.999712777,
2579.132192831, 0.999766279,
2579.152624422, 0.999774895,
2579.173056112, 0.999816655,
2579.193487901, 0.999765806,
2579.213919491, 0.999738468,
2579.234351180, 0.999754747,
2579.254782968, 0.999851215,
2579.275214557, 0.999801437,
2579.295646245, 0.999723364,
2579.316078033, 0.999731292,
2579.336509620, 0.999791235,
2579.377373095, 0.999854665,
2579.397804681, 0.999771501,
2579.418236467, 0.999759027,
2579.438668154, 0.999755704,
2579.459099839, 0.999775902,
2579.479531525, 0.999793146,
2579.499963210, 0.999789866,
2579.520394895, 0.999791905,
2579.540826579, 0.999810695,
2579.561258263, 0.999776465,
2579.581689847, 0.999505753,
2579.602121631, 0.999392487,
2579.622553314, 0.999435812,
2579.642984897, 0.999697699,
2579.663416680, 0.999744321,
2579.683848362, 0.999782151,
2579.704279944, 0.999842588,
2579.724711726, 0.999767261,
2579.745143407, 0.999765234,
